N,S,N*a,D,d
5300,890.400000000031,890.4000000000001,3.092281986027956e-11,3.472913281702556e-12
5400,907.2000000000317,907.2,3.1604940886609256e-11,3.4837897802699797e-12
5500,924.0000000000323,924.0000000000001,3.2173375075217336e-11,3.4819669994823952e-12
5600,940.8000000000329,940.8000000000001,3.285549610154703e-11,3.492293378140628e-12
5700,957.6000000000336,957.6,3.353761712787673e-11,3.5022574277231337e-12
5800,974.4000000000342,974.4000000000001,3.410605131648481e-11,3.5002105209857147e-12
5900,991.2000000000348,991.2,3.4788172342814505e-11,3.509702617313812e-12
6000,1008.0000000000355,1008.0000000000001,3.5356606531422585e-11,3.507599854307796e-12
6100,1024.8000000000357,1024.8,3.5697667044587433e-11,3.483378907551467e-12
6200,1041.600000000025,1041.6000000000001,2.4783730623312294e-11,2.3793904208249128e-12
6300,1058.4000000000142,1058.4,1.4097167877480388e-11,1.3319319612131884e-12
6400,1075.2000000000035,1075.2,3.410605131648481e-12,3.172065784643304e-13
6500,1091.9999999999927,1092.0,7.275957614183426e-12,6.66296484815332e-13
6600,1108.799999999982,1108.8000000000002,1.8189894035458565e-11,1.6405027088256279e-12
6700,1125.5999999999713,1125.6000000000001,2.887645678129047e-11,2.5654279301075397e-12
6800,1142.3999999999605,1142.4,3.956301952712238e-11,3.463149468410572e-12
6900,1159.1999999999498,1159.2,5.0249582272954285e-11,4.334850092559894e-12
7000,1175.999999999939,1176.0,6.093614501878619e-11,5.181644984590663e-12
7100,1192.7999999999283,1192.8000000000002,7.185008144006133e-11,6.023648678744242e-12
7200,1209.5999999999176,1209.6000000000001,8.253664418589324e-11,6.8234659545215965e-12
7300,1226.3999999999069,1226.4,9.322320693172514e-11,7.601370428222859e-12
7400,1243.1999999998961,1243.2,1.0390976967755705e-10,8.358250456688951e-12
7500,1259.9999999998854,1260.0,1.1459633242338896e-10,9.094947017729282e-12
7600,1276.7999999998747,1276.8000000000002,1.255102688446641e-10,9.830064915778827e-12
7700,1293.599999999864,1293.6000000000001,1.36196831590496e-10,1.0528512027713049e-11
7800,1310.3999999998532,1310.4,1.468833943363279e-10,1.1209050239341263e-11
7900,1327.1999999998425,1327.2,1.5756995708215982e-10,1.1872359635485218e-11
8000,1343.9999999998317,1344.0,1.6825651982799172e-10,1.2519086296725575e-11
8100,1360.799999999821,1360.8000000000002,1.7917045624926686e-10,1.3166553222315317e-11
8200,1377.5999999998103,1377.6000000000001,1.8985701899509877e-10,1.3781723213929933e-11
8300,1394.3999999997995,1394.4,2.0054358174093068e-10,1.4382069832252629e-11
8400,1411.1999999997888,1411.2,2.1123014448676258e-10,1.4968122483472404e-11
8500,1427.999999999778,1428.0,2.219167072325945e-10,1.5540385660545832e-11
